bl_id,vf_age,vf_vote_gen_12,vf_vote_gen_16,vf_vote_gen_18,vf_vote_gen_20,vf_female,vf_white,voted_2022,treat
611,37,1,0,0,0,1,1,0,"HowToOnly"
612,44,0,1,1,1,0,1,1,"BothMailers"
613,59,0,1,0,1,0,1,0,"HowToOnly"
614,58,1,1,0,1,0,1,1,"HowToOnly"
615,62,0,0,0,1,0,1,0,"BothMailers"
616,41,1,1,1,1,1,1,0,"BothMailers"
617,28,1,1,0,1,0,1,0,"BothMailers"
618,54,0,0,0,1,1,1,0,"Control"
619,41,0,1,0,1,0,1,0,"BothMailers"
620,52,1,1,0,1,1,1,0,"Control"
621,33,0,0,1,1,1,1,1,"Control"
622,46,1,1,0,1,0,1,0,"Control"
623,48,1,1,1,1,1,1,1,"BothMailers"
624,63,1,1,1,1,1,1,1,"BothMailers"
625,76,1,1,1,1,1,1,1,"Control"
626,37,0,0,0,1,1,1,0,"BothMailers"
627,92,1,0,0,0,1,1,0,"HowToOnly"
628,53,1,0,0,1,0,1,0,"BothMailers"
629,27,1,1,1,1,1,1,0,"Control"
631,35,0,0,0,1,1,1,0,"HowToOnly"
632,43,1,1,0,0,1,1,0,"BothMailers"
634,33,1,0,0,0,0,1,0,"HowToOnly"
635,68,1,1,0,0,1,1,0,"HowToOnly"
636,41,0,0,0,0,1,1,0,"HowToOnly"
637,34,0,1,1,1,1,1,0,"BothMailers"
638,71,0,1,0,1,1,1,0,"BothMailers"
639,67,1,1,1,1,1,1,1,"HowToOnly"
640,51,1,1,1,1,1,1,0,"HowToOnly"
641,38,0,0,0,0,1,1,0,"BothMailers"
